Date GPS,Date de réception,Type evt.,Contact,Vitesse,Vitesse du tronçon,Adresse,Dist. cumulée,Temps moteur,Niveau de carburant,RPM du moteur,Autonomie,Battery level (%),Pédale d'accélération,Distance avant entretien,Température du moteur,Consommation totale de carburant,Temps total de standby,Sat,Jours avant entretien,T°1,T°2,T°3,T°4
06/08/2020 - 12:04:41,06/08/2020 - 12:06:42,Suivi,ON, - , - ,"(FR) - Avenue du Jas de Violaine 3-13, 13770 Venelles","49,3 km",3:24:00,0.0%,0,-,,-,-,-,0.0l,,11,,"12,7 °C","20,8 °C","29,5 °C","29,3 °C"
06/08/2020 - 12:04:49,06/08/2020 - 12:06:46,Virage brusque,ON, - , - ,"(FR) - Avenue du Jas de Violaine 3-13, 13770 Venelles","49,4 km",3:24:00,0.0%,0,-,,-,-,-,0.0l,,13,,"12,7 °C","20,8 °C","29,5 °C","29,3 °C"
06/08/2020 - 12:05:20,06/08/2020 - 12:06:52,Suivi,ON, - , - ,"(FR) - Avenue des Ribas , 13770 Venelles","49,7 km",3:25:00,0.0%,0,-,,-,-,-,0.0l,,12,,"12,7 °C","20,8 °C","29,5 °C","29,3 °C"
06/08/2020 - 12:05:23,06/08/2020 - 12:07:02,Suivi,ON, - , - ,"(FR) - Avenue des Ribas , 13770 Venelles","49,7 km",3:25:00,0.0%,0,-,,-,-,-,0.0l,,11,,"12,7 °C","20,8 °C","29,5 °C","29,3 °C"
06/08/2020 - 12:05:53,06/08/2020 - 12:07:17,Suivi,ON, - , - ,"(FR) - Avenue des Ribas , 13770 Venelles","50,0 km",3:25:00,0.0%,0,-,,-,-,-,0.0l,,9,,"12,7 °C","20,8 °C","29,5 °C","29,4 °C"
06/08/2020 - 12:06:02,06/08/2020 - 12:07:22,Virage brusque,ON, - , - ,"(FR) - Avenue des Ribas , 13770 Venelles","50,1 km",3:25:00,0.0%,0,-,,-,-,-,0.0l,,12,,"12,7 °C","20,8 °C","29,5 °C","29,4 °C"
06/08/2020 - 12:06:16,06/08/2020 - 12:07:26,Virage brusque,ON, - , - ,"(FR) - Avenue des Ribas , 13770 Venelles","50,2 km",3:26:00,0.0%,0,-,,-,-,-,0.0l,,13,,"12,8 °C","20,8 °C","29,5 °C","29,4 °C"
06/08/2020 - 12:06:45,06/08/2020 - 12:07:31,Suivi,ON, - , - ,"(FR) - Avenue de la Mouliero 15-33, 13770 Venelles","50,5 km",3:26:00,0.0%,0,-,,-,-,-,0.0l,,14,,"12,8 °C","20,8 °C","29,6 °C","29,4 °C"
06/08/2020 - 12:06:48,06/08/2020 - 12:07:35,Suivi,ON, - , - ,"(FR) - Rue des Piboules 2-23, 13770 Venelles","50,6 km",3:26:00,0.0%,0,-,,-,-,-,0.0l,,12,,"12,8 °C","20,8 °C","29,6 °C","29,4 °C"
06/08/2020 - 12:07:14,06/08/2020 - 12:07:40,Suivi,ON, - , - ,"(FR) - Rue des Piboules 22-26, 13770 Venelles","50,8 km",3:27:00,0.0%,0,-,,-,-,-,0.0l,,11,,"12,8 °C","20,9 °C","29,6 °C","29,4 °C"
06/08/2020 - 12:07:22,06/08/2020 - 12:07:43,Suivi,ON, - , - ,"(FR) - - , 13770 Venelles","50,8 km",3:27:00,0.0%,0,-,,-,-,-,0.0l,,13,,"12,8 °C","20,8 °C","29,7 °C","29,5 °C"
06/08/2020 - 12:07:27,06/08/2020 - 12:09:50,Position,ON, - , - ,"(FR) - - , 13770 Venelles","50,8 km",3:27:00,0.0%,-,-,,-,-,-,0.0l,,12,,"12,9 °C","20,9 °C","28,8 °C","29,7 °C"
06/08/2020 - 12:07:28,06/08/2020 - 12:09:53,Arrêt,OFF, - , - ,"(FR) - - , 13770 Venelles","50,8 km",3:27:00,0.0%,-,-,,-,-,-,0.0l,,12,,"12,9 °C","20,9 °C","28,8 °C","29,7 °C"
06/08/2020 - 12:19:01,06/08/2020 - 12:19:20,Démarrage,ON, - , - ,"(FR) - - , 13770 Venelles","50,8 km",3:27:00,0.0%,-,-,,-,-,-,0.0l,,,,-,-,-,-
06/08/2020 - 12:19:02,06/08/2020 - 12:19:24,Position,ON, - , - ,"(FR) - - , 13770 Venelles","50,9 km",3:27:00,0.0%,-,-,,-,-,-,0.0l,,,,-,-,-,-
06/08/2020 - 12:19:04,06/08/2020 - 12:19:29,Suivi,ON, - , - ,"(FR) - A51 , 13770 Venelles","50,9 km",3:27:00,0.0%,0,-,,-,-,-,0.0l,,5,,-,-,-,-
06/08/2020 - 12:22:47,06/08/2020 - 12:27:56,Suivi,ON, - , - ,"(FR) - D96 , 13650 Meyrargues","55,5 km",3:30:00,0.0%,0,-,,-,-,-,0.0l,,14,,"13,3 °C","21,1 °C","30,3 °C","30,2 °C"
06/08/2020 - 12:22:52,06/08/2020 - 12:28:01,Accélération brusque,ON, - , - ,"(FR) - D96 , 13650 Meyrargues","55,6 km",3:30:00,0.0%,0,-,,-,-,-,0.0l,,14,,"13,3 °C","21,1 °C","29,3 °C","30,3 °C"
06/08/2020 - 12:23:13,06/08/2020 - 12:28:06,Suivi,ON, - , - ,"(FR) - D96 , 13650 Meyrargues","56,0 km",3:31:00,0.0%,0,-,,-,-,-,0.0l,,12,,"13,3 °C","21,1 °C","29,3 °C","30,3 °C"
06/08/2020 - 12:23:54,06/08/2020 - 12:28:11,Suivi,ON, - , - ,"(FR) - D96 , 13650 Meyrargues","56,6 km",3:31:00,0.0%,0,-,,-,-,-,0.0l,,13,,"13,4 °C","21,2 °C","29,3 °C","30,4 °C"
06/08/2020 - 12:24:01,06/08/2020 - 12:28:17,Suivi,ON, - , - ,"(FR) - D96 , 13650 Meyrargues","56,6 km",3:32:00,0.0%,0,-,,-,-,-,0.0l,,12,,"13,4 °C","21,2 °C","29,3 °C","30,4 °C"
06/08/2020 - 12:28:57,06/08/2020 - 12:29:01,Suivi,ON, - , - ,"(FR) - D96 , 13860 Peyrolles-en-Provence","60,6 km",3:36:00,0.0%,0,-,,-,-,-,0.0l,,13,,"13,6 °C","21,2 °C","30,6 °C","30,5 °C"
06/08/2020 - 12:29:13,06/08/2020 - 12:41:01,Décélération brusque,ON, - , - ,"(FR) - D96 , 13860 Peyrolles-en-Provence","60,8 km",3:37:00,0.0%,0,-,,-,-,-,0.0l,,11,,"13,6 °C","21,2 °C","30,6 °C","30,5 °C"
